"","trip_id","origin_id","origin_lat","origin_lon","dest_lat","dest_lon","duration_min","duration_with_traffic_min","distance_mi"
"1",1,1,37.756221,-122.476689,37.662305,-122.384182,22.9,25.5,14.4
"2",2,3,37.801098,-122.425277,37.662305,-122.384182,27.8,27,11.6
"3",3,8,37.777596,-122.423173,37.662305,-122.384182,15.8,16.7,10.2
"4",4,9,37.784876,-122.424686,37.662305,-122.384182,17.8,19.1,10.7
"5",5,10,37.72587,-122.4752,37.662305,-122.384182,16.4,16.8,12.3
"6",6,12,37.77105,-122.4371,37.662305,-122.384182,19.1,19.9,10.6
"7",7,13,37.77438,-122.40449,37.662305,-122.384182,13.8,14.4,9.6
"8",8,15,37.76114,-122.43514,37.662305,-122.384182,20.7,21.1,10.8
"9",9,17,37.73333,-122.43354,37.662305,-122.384182,11.9,13.2,7.8
"10",10,19,37.786904,-122.44034,37.662305,-122.384182,21.9,23.3,11.8
"11",11,23,37.78424,-122.408379,37.662305,-122.384182,17.2,17.7,10.4
"12",12,24,37.79286,-122.393488,37.662305,-122.384182,20.3,21.9,10.9
"13",13,25,37.778723,-122.393037,37.662305,-122.384182,14.2,15,9.7
"14",14,26,37.780349,-122.438781,37.662305,-122.384182,22.3,21.9,11.2
"15",15,27,37.790461,-122.393251,37.662305,-122.384182,19,21.2,10.7
"16",16,28,37.73734,-122.47515,37.662305,-122.384182,20.9,22.1,10.5
"17",17,29,37.764548,-122.452879,37.662305,-122.384182,22.7,25,12
"18",18,31,37.764386,-122.430909,37.662305,-122.384182,18.8,19.5,10.6
"19",19,32,37.751644,-122.427545,37.662305,-122.384182,16.8,17.7,8.7
"20",20,33,37.748366,-122.414207,37.662305,-122.384182,13.9,14.8,8.1
"21",21,34,37.799218,-122.441001,37.662305,-122.384182,26.2,28,12.5
"22",22,35,37.76015,-122.47671,37.662305,-122.384182,25.2,27.2,12
"23",23,36,37.780776,-122.472217,37.662305,-122.384182,28.6,32.4,13.5
